;Маркиратор (PGM211335206080);Production;Ok;Маркиратор;;PGM211335206080;sz;Production;
;Ветродуй (218566);Production;Ok;Ветродуй;;218566;sz;Production;
;Ветродуй (225579);Production;Ok;Ветродуй;;225579;sz;Production;
;Ветродуй (225578);Production;Ok;Ветродуй;;225578;sz;Production;
;Ветродуй (225589);Production;Ok;Ветродуй;;225589;sz;Production;
;Ветродуй (225588);Production;Ok;Ветродуй;;225588;sz;Production;
;Ветродуй (163699);Production;Ok;Ветродуй;;163699;sz;Production;
;Ветродуй (00260845);Production;Ok;Ветродуй;;00260845;sz;Production;
;Шуруповерт (0221612);Production;Ok;Шуруповерт;;0221612;sz;Production;
;Удлинитель;Production;Ok;Удлинитель;;N/A;sz;Production;
;Удлинитель;Production;Ok;Удлинитель;;N/A;sz;Production;
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;07.02.22 Тестер напряжения Перчатки Набор отверток 28.02.24 Сумка с инструментом НАБОР ИЗОЛИРОВАННЫХ ОТВЕРТОК Ключ разводной YATO YT-21652
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;07.02.23 Отвертка с храповым механизмом Перчатки Складной нож 28.02.24 НАБОР ИЗОЛИРОВАННЫХ ОТВЕРТОК
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;28.11.22 Бокорезы Нож Рулетка Отвертки Набор ключей имбусовых Маркер(красный, сииний) Сверла по металлу Тиски ручные Набор инструментов (Биты, головки, трещотка) Пассатижи Ключ разводной Набор Битов  03.02.23 Протяжка Пресс ручной
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;
;Ветродуй (104843);Production;Ok;Ветродуй;;104843;sz;Production;
;Ветродуй (268193);Production;Ok;Ветродуй;;268193;sz;Production;
;Болгарка (0018400);Production;Ok;Болгарка;;0018400;sz;Production;
;Перфоратор (863501F7);Production;Ok;Перфоратор;;863501F7;sz;Production;
;Гидравлический / ручной пресс;Production;Ok;Гидравлический / ручной пресс;;N/A;sz;Production;г Астана
;Гидравлический / ручной пресс;Production;Ok;Гидравлический / ручной пресс;;N/A;sz;Production;г Астана
;Мини-мойка / пароочиститель (117143);Production;Ok;Мини-мойка / пароочиститель;;117143;sz;Production;
;Пылесос промышленный (047524);Production;Ok;Пылесос промышленный;;047524;sz;Production;
;Паяльник;Production;Ok;Паяльник;;N/A;sz;Production;
;Паяльник;Production;Ok;Паяльник;;N/A;sz;Production;
;Ветродуй (203102);Production;Ok;Ветродуй;;203102;sz;Production;
;Ветродуй (00182206);Production;Ok;Ветродуй;;00182206;sz;Production;
;Паяльник;Production;Ok;Паяльник;;N/A;sz;Production;
;Паяльник;Production;Ok;Паяльник;;N/A;sz;Production;
;Ручной сканер (210134240);Production;Ok;Ручной сканер;;210134240;sz;Production;
;Ручной сканер (210134235);Production;Ok;Ручной сканер;;210134235;sz;Production;
;Ручной сканер (210134234);Production;Ok;Ручной сканер;;210134234;sz;Production;
;Ручной сканер (210134237);Production;Ok;Ручной сканер;;210134237;sz;Production;
;Ручной сканер (210134242);Production;Ok;Ручной сканер;;210134242;sz;Production;
;Ручной сканер (B0311185);Production;Ok;Ручной сканер;;B0311185;sz;Production;
;Ветродуй (J080012);Production;Ok;Ветродуй;;J080012;sz;Production;21.11.22
;Станция эвакуации фреона (???);Production;Ok;Станция эвакуации фреона;;???;sz;Production;г Астана
;Шуруповерт (44047605000163E2022);Production;Ok;Шуруповерт;;44047605000163E2022;sz;Production;
;Фен технический;Production;Ok;Фен технический;;N/A;sz;Production;
;Маркиратор (PGM211336206022);Production;Ok;Маркиратор;;PGM211336206022;sz;Production;
;Сварочный аппарат (42492944000);Production;Ok;Сварочный аппарат;;42492944000;sz;Production;
;Манифолд (000001);Production;Ok;Манифолд;;000001;sz;Production;
;Фен технический (211202594);Production;Ok;Фен технический;;211202594;sz;Production;
;Перфоратор (Z43387);Production;Ok;Перфоратор;;Z43387;sz;Production;
;Электролобзик (65874G);Production;Ok;Электролобзик;;65874G;sz;Production;
;Электролобзик (65873G);Production;Ok;Электролобзик;;65873G;sz;Production;
;Перфоратор (00213);Production;Ok;Перфоратор;;00213;sz;Production;
;Шуруповерт (000002);Production;Ok;Шуруповерт;;000002;sz;Production;
;Шуруповерт (000003);Production;Ok;Шуруповерт;;000003;sz;Production;
;Шуруповерт (081641);Production;Ok;Шуруповерт;;081641;sz;Production;
;Шуруповерт (081639);Production;Ok;Шуруповерт;;081639;sz;Production;
;Перфоратор (000469);Production;Ok;Перфоратор;;000469;sz;Production;
;Перфоратор (00650);Production;Ok;Перфоратор;;00650;sz;Production;
;Шуруповерт (n/a);Production;Ok;Шуруповерт;;n/a;sz;Production;
;Шуруповерт (W0REVL5);Production;Ok;Шуруповерт;;W0REVL5;sz;Production;
;Сварочный аппарат (00005);Production;Ok;Сварочный аппарат;;00005;sz;Production;
;Сварочный аппарат (00006);Production;Ok;Сварочный аппарат;;00006;sz;Production;Вышел из строя
;Перфоратор (00213);Production;Ok;Перфоратор;;00213;sz;Production;
;Перфоратор (120301000259);Production;Ok;Перфоратор;;120301000259;sz;Production;
;Фонарик;Production;Ok;Фонарик;;N/A;sz;Production;
;Фонарик;Production;Ok;Фонарик;;N/A;sz;Production;
;Фонарик (n/a);Production;Ok;Фонарик;;n/a;sz;Production;
;Фонарик;Production;Ok;Фонарик;;N/A;sz;Production;
;Фонарик;Production;Ok;Фонарик;;N/A;sz;Production;
;Фонарик;Production;Ok;Фонарик;;N/A;sz;Production;
;Фонарик (n/a);Production;Ok;Фонарик;;n/a;sz;Production;
;Фонарик (n/a);Production;Ok;Фонарик;;n/a;sz;Production;
;Фонарик (n/a);Production;Ok;Фонарик;;n/a;sz;Production;
;Фонарик (n/a);Production;Ok;Фонарик;;n/a;sz;Production;
;Фонарик (n/a);Production;Ok;Фонарик;;n/a;sz;Production;
;Фонарик (n/a);Production;Ok;Фонарик;;n/a;sz;Production;
;Фонарик (n/a);Production;Ok;Фонарик;;n/a;sz;Production;
;Фонарик;Production;Ok;Фонарик;;N/A;sz;Production;
;Фонарик;Production;Ok;Фонарик;;N/A;sz;Production;
;Программатор;Production;Ok;Программатор;;N/A;sz;Production;
;Зеркало (n/a);Production;Ok;Зеркало;;n/a;sz;Production;
;Зеркало;Production;Ok;Зеркало;;N/A;sz;Production;
;Зеркало;Production;Ok;Зеркало;;N/A;sz;Production;
;Зеркало;Production;Ok;Зеркало;;N/A;sz;Production;
;Зеркало;Production;Ok;Зеркало;;N/A;sz;Production;
;Коврик огнеупорный (â00001);Production;Ok;Коврик огнеупорный;;â00001;sz;Production;
;Коврик огнеупорный (000002);Production;Ok;Коврик огнеупорный;;000002;sz;Production;
;Тележка;Production;Ok;Тележка;;N/A;sz;Production;
;Болгарка (011019);Production;Ok;Болгарка;;011019;sz;Production;
;Фонарик (n/a);Production;Ok;Фонарик;;n/a;sz;Production;
;Фонарик (n/a);Production;Ok;Фонарик;;n/a;sz;Production;
;Фонарик (n/a);Production;Ok;Фонарик;;n/a;sz;Production;
;Фонарик (n/a);Production;Ok;Фонарик;;n/a;sz;Production;
;Фонарик (n/a);Production;Ok;Фонарик;;n/a;sz;Production;
;Фонарик (n/a);Production;Ok;Фонарик;;n/a;sz;Production;
;Пылесос промышленный;Production;Ok;Пылесос промышленный;;N/A;sz;Production;Сломана вилка
;Болгарка (000001);Production;Ok;Болгарка;;000001;sz;Production;
;Болгарка;Production;Ok;Болгарка;;N/A;sz;Production;
;Болгарка (000002);Production;Ok;Болгарка;;000002;sz;Production;
;Болгарка (1B-004/212/0183);Production;Ok;Болгарка;;1B-004/212/0183;sz;Production;
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;21.11.2022 Сумка для инструментов Набор инструментов (трещотка, головка, биты) Набор ключей Набор отверток Паяльник Клещи 165мм, 250мм Ключ разводной  Набор шестигранников Рулетка Нож Плоскогубцы Бокорезы Длинногубцы Удлинитель 40м
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;26.01.22 Сумка для инструментов 02.05.2023 Набор головок (на складе с 28.02.24) Уровень (со склада)  28.02.24 Набор инструментов 57 предметов
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;13.03.23 Сумка для инструмента Набор Инструментов (ключи рожковые, трещетка, головки, биты) 82 предмета Паяльник Круглогубцы Набор инструментов (длинногубцы,отвертка-тестер,пассатижи,молоток,отвертки,кусачки,ключ разводной, нож, рулетка) 22 предмета Перчатки Рулетка Нож Уровень  28.11.23 TKL20-006-016 IEK Клещи обжимные
;Фонарик;Production;Ok;Фонарик;;N/A;sz;Production;
;Шуруповерт;Production;Ok;Шуруповерт;;N/A;sz;Production;
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;10.04.23 Рюкзак для инструментов
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;10.04.23 Рюкзак для инструментов
;Вакуумный насос (250512);Production;Ok;Вакуумный насос;;250512;sz;Production;
;Вакуумный насос (2204);Production;Ok;Вакуумный насос;;2204;sz;Production;
;Вакуумный насос (???);Production;Ok;Вакуумный насос;;???;sz;Production;
;Вакуумный насос;Production;Ok;Вакуумный насос;;N/A;sz;Production;
;Станция эвакуации фреона;Production;Ok;Станция эвакуации фреона;;N/A;sz;Production;
;Мини-мойка / пароочиститель;Production;Ok;Мини-мойка / пароочиститель;;N/A;sz;Production;
;Мини-мойка / пароочиститель;Production;Ok;Мини-мойка / пароочиститель;;N/A;sz;Production;
;Мини-мойка / пароочиститель;Production;Ok;Мини-мойка / пароочиститель;;N/A;sz;Production;
;Мини-мойка / пароочиститель;Production;Ok;Мини-мойка / пароочиститель;;N/A;sz;Production;
;Мини-мойка / пароочиститель;Production;Ok;Мини-мойка / пароочиститель;;N/A;sz;Production;
;Стремянка / Рамные леса;Production;Ok;Стремянка / Рамные леса;;N/A;sz;Production;
;Стремянка / Рамные леса;Production;Ok;Стремянка / Рамные леса;;N/A;sz;Production;
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;
;Ветродуй (203107);Production;Ok;Ветродуй;;203107;sz;Production;
;Перфоратор (000001);Production;Ok;Перфоратор;;000001;sz;Production;
;Болгарка (20101500127);Production;Ok;Болгарка;;20101500127;sz;Production;
;Электрорубанок;Production;Ok;Электрорубанок;;N/A;sz;Production;
;Зарядное устройство (575825/08-2);Production;Ok;Зарядное устройство;;575825/08-2;sz;Production;
;Пчелка (00261794);Production;Ok;Пчелка;;00261794;sz;Production;
;Рация;Production;Ok;Рация;;N/A;sz;Production;
;Рация;Production;Ok;Рация;;N/A;sz;Production;
;Рация;Production;Ok;Рация;;N/A;sz;Production;
;Рация;Production;Ok;Рация;;N/A;sz;Production;
;Гидравлический / ручной пресс;Production;Ok;Гидравлический / ручной пресс;;N/A;sz;Production;
;Гидравлический / ручной пресс;Production;Ok;Гидравлический / ручной пресс;;N/A;sz;Production;
;Гидравлический / ручной пресс;Production;Ok;Гидравлический / ручной пресс;;N/A;sz;Production;
;Трубогиб;Production;Ok;Трубогиб;;N/A;sz;Production;
;Развальцовка / Труборасширитель;Production;Ok;Развальцовка / Труборасширитель;;N/A;sz;Production;
;Развальцовка / Труборасширитель;Production;Ok;Развальцовка / Труборасширитель;;N/A;sz;Production;
;Мини-мойка / пароочиститель;Production;Ok;Мини-мойка / пароочиститель;;N/A;sz;Production;
;Мини-мойка / пароочиститель;Production;Ok;Мини-мойка / пароочиститель;;N/A;sz;Production;
;Пчелка (000408);Production;Ok;Пчелка;;000408;sz;Production;
;Мини-мойка / пароочиститель;Production;Ok;Мини-мойка / пароочиститель;;N/A;sz;Production;
;Мини-мойка / пароочиститель;Production;Ok;Мини-мойка / пароочиститель;;N/A;sz;Production;
;Паяльник;Production;Ok;Паяльник;;N/A;sz;Production;
;Мини-мойка / пароочиститель;Production;Ok;Мини-мойка / пароочиститель;;N/A;sz;Production;
;Трубогиб;Production;Ok;Трубогиб;;N/A;sz;Production;
;Сварочный аппарат;Production;Ok;Сварочный аппарат;;N/A;sz;Production;
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;02.05.23 Сумка с инструментом  Рулетка 8 м  Бокорезы (на складе с 28.02.24) Круглогбуцы (на складе с 28.02.24)
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;02.05.23 Круглогубцы
;Сварочный аппарат;Production;Ok;Сварочный аппарат;;N/A;sz;Production;склад г Астана
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;02.05.2023 Сумка для инструмента (сдал на склад 28.02.24) Набор головок Набор отверток Набор рожковых ключей Рулетка 8 м Молоток (со склада) Уровень (со склада) Разводной ключ Нож Плоскогубцы Бокорезы Круглогубцы Набор шестигранников 28.02.24 Сумка для инструмента
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;02.05.2023 -Сумка для инструмента Набор головок -Набор отверток Набор рожковых ключей Рулетка 8 м -Молоток  Уровень (со склада) Разводной ключ -Нож Плоскогубцы -Бокорезы -Круглогубцы -Набор шестигранников   31.01.24 Сдал: Сумка для инструмента, Набор отверток, Молоток, Нож, Бокорезы, Круглогубцы, Набор шестигранников
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;02.05.2023 Рулетка 8 м
;Кабелерез;Production;Ok;Кабелерез;;N/A;sz;Production;02.05.23
;Кабелерез;Production;Ok;Кабелерез;;N/A;sz;Production;02.05.23
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;02.05.2023 Набор отверток Рулетка 8 м
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;02.05.2023 Набор отверток
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;02.05.2023 Сумка для инструмента Набор отверток Молоток Плоскогубцы Бокорезы Круглогубцы Газовый ключ
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;02.05.2023 Сумка для инструмента Набор головок Набор отверток Набор рожковых ключей (со склада) Рулетка 8 м Молоток (со склада) Разводной ключ Нож Плоскогубцы Бокорезы Круглогубцы Набор шестигранников
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;02.05.2023 Сумка для инструмента Набор головок Набор отверток Набор рожковых ключей Рулетка 8 м Молоток (со склада) Разводной ключ Нож Плоскогубцы Бокорезы Круглогубцы Набор шестигранников
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;02.05.2023 Сумка для инструмента Набор головок(со склада) Набор отверток Набор рожковых ключей (со склада) Рулетка 8 м Молоток (со склада) Уровень (со склада) Разводной ключ (со склада) Нож Плоскогубцы Бокорезы Круглогубцы Набор шестигранников
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;02.05.2023 Сумка для инструмента Набор головок (со склада) Набор отверток Набор рожковых ключей (со склада) Рулетка 8 м Молоток (со склада) Уровень (со склада) Разводной ключ Нож Плоскогубцы Бокорезы - замена 22.04.24 Круглогубцы Набор шестигранников (со склада)
;Мини-мойка / пароочиститель;Production;Ok;Мини-мойка / пароочиститель;;N/A;sz;Production;
;Штроборез (07W32 00720);Production;Ok;Штроборез;;07W32 00720;sz;Production;
;Пчелка (00001);Production;Ok;Пчелка;;00001;sz;Production;
;Пчелка (00002);Production;Ok;Пчелка;;00002;sz;Production;
;Гидравлический / ручной пресс;Production;Ok;Гидравлический / ручной пресс;;N/A;sz;Production;
;Болгарка (17-033/2/0237);Production;Ok;Болгарка;;17-033/2/0237;sz;Production;
;Гидравлический / ручной пресс;Production;Ok;Гидравлический / ручной пресс;;N/A;sz;Production;19.05.2023
;Гидравлический / ручной пресс;Production;Ok;Гидравлический / ручной пресс;;N/A;sz;Production;19.05.2023
;Шуруповерт (W12G6PD);Production;Ok;Шуруповерт;;W12G6PD;sz;Production;
;Шуруповерт (W12GGC5);Production;Ok;Шуруповерт;;W12GGC5;sz;Production;
;Шуруповерт (W12G6N5);Production;Ok;Шуруповерт;;W12G6N5;sz;Production;
;Удлинитель (???);Production;Ok;Удлинитель;;???;sz;Production;
;Удлинитель;Production;Ok;Удлинитель;;N/A;sz;Production;
;Удлинитель;Production;Ok;Удлинитель;;N/A;sz;Production;
;Удлинитель;Production;Ok;Удлинитель;;N/A;sz;Production;
;Удлинитель;Production;Ok;Удлинитель;;N/A;sz;Production;
;Кабелерез;Production;Ok;Кабелерез;;N/A;sz;Production;
;Удлинитель;Production;Ok;Удлинитель;;N/A;sz;Production;3*1,5 25 м
;Удлинитель;Production;Ok;Удлинитель;;N/A;sz;Production;3*1,5 25 м
;Сварочный аппарат;Production;Ok;Сварочный аппарат;;N/A;sz;Production;
;Сварочный аппарат;Production;Ok;Сварочный аппарат;;N/A;sz;Production;
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;28.07.23 Сумка для инструментов STST1-73615 Stanley											 Набор инструментов 23110 Proxxon											 Набор отверток 0-65-009 Stanley											 Набор ключей 23800 Proxxon											 Рулетка 0-30-457 Stanley											 Молоток YT-4563 YATO																					 Ключ разводной YT-21651 YATO											 Нож 0-10-088 Stanley											 Плоскогубцы STHT0-74456 Stanley																						 Бокорезы YT-20433 YATO
;Кабелерез;Production;Ok;Кабелерез;;N/A;sz;Production;
;Стремянка / Рамные леса;Production;Ok;Стремянка / Рамные леса;;N/A;sz;Production;
;Стремянка / Рамные леса;Production;Ok;Стремянка / Рамные леса;;N/A;sz;Production;
;Маркиратор (PGM2102212003408);Production;Ok;Маркиратор;;PGM2102212003408;sz;Production;
;Стремянка / Рамные леса;Production;Ok;Стремянка / Рамные леса;;N/A;sz;Production;
;Болгарка (000002);Production;Ok;Болгарка;;000002;sz;Production;
;Пылесос промышленный;Production;Ok;Пылесос промышленный;;N/A;sz;Production;KFI 357 6.959-130.0  - мешки
;Пылесос промышленный;Production;Ok;Пылесос промышленный;;N/A;sz;Production;
;Перфоратор (000076);Production;Ok;Перфоратор;;000076;sz;Production;Требуется смазка
;Пчелка (420490);Production;Ok;Пчелка;;420490;sz;Production;
;Кабелерез;Production;Ok;Кабелерез;;N/A;sz;Production;
;Манифолд;Production;Ok;Манифолд;;N/A;sz;Production;
;Гидравлический / ручной пресс;Production;Ok;Гидравлический / ручной пресс;;N/A;sz;Production;
;Манифолд;Production;Ok;Манифолд;;N/A;sz;Production;
;Гидравлический / ручной пресс;Production;Ok;Гидравлический / ручной пресс;;N/A;sz;Production;
;Болгарка;Production;Ok;Болгарка;;N/A;sz;Production;
;Перфоратор (0 611 272 100);Production;Ok;Перфоратор;;0 611 272 100;sz;Production;
;Гидравлический / ручной пресс (2206);Production;Ok;Гидравлический / ручной пресс;;2206;sz;Production;
;Перфоратор (020808190);Production;Ok;Перфоратор;;020808190;sz;Production;
;Гидравлический / ручной пресс;Production;Ok;Гидравлический / ручной пресс;;N/A;sz;Production;
;Пила;Production;Ok;Пила;;N/A;sz;Production;
;Присоски;Production;Ok;Присоски;;N/A;sz;Production;
;Присоски;Production;Ok;Присоски;;N/A;sz;Production;
;Присоски;Production;Ok;Присоски;;N/A;sz;Production;
;Пчелка (170341G);Production;Ok;Пчелка;;170341G;sz;Production;
;Сварочный аппарат (8070152);Production;Ok;Сварочный аппарат;;8070152;sz;Production;
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;28.02.24 Бокорезы Круглогубцы
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;28.02.24 Сумка для инструментов Молоток
;Сумка с инструментом;Production;Ok;Сумка с инструментом;;N/A;sz;Production;28.02.24 Сумка с инструментом 22.04.24 Бокорезы
